language,code,reason
Spanish,es,missing sample text
Tatar,tt,missing sample text
Oriya,or,missing sample text
Rejang,rej,missing sample text
Gujarati,gu,missing sample text
Katakana,,unknown language
Ethiopic,gez,missing sample text
OlChiki,,unknown language
Runic,,unknown language
Saurashtra,saz,missing sample text
Mandaic,mid,missing sample text
Tifinagh,,unknown language
Devanagari,,unknown language
Cyrillic,,unknown language
Hiragana,,unknown language
Bashkir,ba,missing sample text
SylotiNagri,,unknown language
Hangul,,unknown language
Abstract,,unknown language
Chinese,zh,missing sample text
Cherokee,chr,missing sample text
Kazakh,kk,missing sample text
YiSyllables,,unknown language
Syriac,syr,missing sample text
NewTaiLue,,unknown language
InternationalPhonetic,,unknown language
KayahLi,zra,missing sample text
Khmer,km,missing sample text
Mongolian,mn,missing sample text
Armenian,hy,missing sample text
Hungarian,hu,missing sample text
Bengali,bn,missing sample text
Latin,la,missing sample text
Lao,lo,missing sample text
Turkish,tr,missing sample text
Telugu,te,missing sample text
Javanese,jv,missing sample text
Italian,it,missing sample text
MeeteiMayek,,unknown language
Thaana,,unknown language
Lisu,lis,missing sample text
TaiTham,,unknown language
Cham,,unknown language
Gurmukhi,,unknown language
Samaritan,sam,missing sample text
Esperanto,eo,missing sample text
Hanunoo,hnn,missing sample text
Czech,cs,missing sample text
Sinhala,si,missing sample text
Ogham,,unknown language
Glagolitic,,unknown language
Arab,ar,missing sample text
PhagsPa,,unknown language
Nko,nqo,missing sample text
Hebrew,he,missing sample text
Malayalam,ml,missing sample text
Polish,pl,missing sample text
Kannada,kn,missing sample text
Vai,vai,missing sample text
Tibetan,bo,missing sample text
Coptic,cop,missing sample text
Balinese,ban,missing sample text
TaiLe,,unknown language
Batak,bya,missing sample text
Georgian,ka,missing sample text
Sundanese,su,missing sample text
Bopomofo,,unknown language
Buginese,bug,missing sample text
Limbu,lif,missing sample text
Tagalog,tl,missing sample text
Buhid,bku,missing sample text
Bamum,bax,missing sample text
Tagbanwa,tbw,missing sample text
Thai,th,missing sample text
Myanmar,my,missing sample text
Lepcha,lep,missing sample text
Bulgarian,bg,missing sample text
Ukrainian,uk,missing sample text
TaiViet,,unknown language
Tamil,ta,missing sample text
Belarusian,be,missing sample text
